"AnimalID","feedlot","cohort","set13","brd50","inductionweight","mix_final","BVDV_PI_origin_FINAL","age_ind_est_m","PV_pre2_final","BVDV1","BVDV_binary","mix_final_v1","BVDV_PI_origin_FINAL_v1","age","weight"
"951 000015499422","9","MG05","MG05QABR0262",1,402,"yes no 4-9","TI but no PI in cohort",27,"0","4",1,"yes no","TI but no PI in cohort",0.27,0.402
"951 000015546219","4","CR12","CR12NC023558",1,444,"yes no 10+","TI but no PI in cohort",20,"0","5",1,"yes no","TI but no PI in cohort",0.2,0.444
"951 000015571886","9","MG04","MG04QABR0262",0,384,"yes no 4-9","PI animal in cohort",27,"0","5",1,"yes no","PI animal in cohort",0.27,0.384
"951 000015631529","8","KW13","KW13QKTA0504",0,372,"yes no no","no BVDV in cohort",15,"0","4",1,"yes no","no BVDV in cohort",0.15,0.372
"951 000015677508","10","PC11","PC113ALBT124",1,442,"yes no 4-9","PI animal in cohort",16,"0","1",1,"yes no","PI animal in cohort",0.16,0.442
"951 000015882601","14","YB05","YB053GLES010",0,496,"yes no 2-3","PI animal in cohort",17,"0","5",1,"yes no","PI animal in cohort",0.17,0.496
"951 000015919648","2","BC11","BC11QGST0112",1,444,"yes no 4-9","PI animal in cohort",11,"1","4",1,"yes no","PI animal in cohort",0.11,0.444
"951 000015960225","8","KW13","KW13QKTA0504",0,382,"yes no no","no BVDV in cohort",15,"0","5",1,"yes no","no BVDV in cohort",0.15,0.382
"951 000016081354","4","CR07","CR07NG560844",0,401,"no no 10+","PI animal in cohort",13,"0","4",1,"no no","PI animal in cohort",0.13,0.401
"951 000016082078","4","CR07","CR07NG560844",1,384,"no no 10+","PI animal in cohort",13,"0","4",1,"no no","PI animal in cohort",0.13,0.384
"951 000016251329","9","MG04","MG04QABR0262",0,423,"yes no 4-9","PI animal in cohort",27,"0","5",1,"yes no","PI animal in cohort",0.27,0.423
"951 000016251415","9","MG04","MG04QABR0262",0,465,"yes no 4-9","PI animal in cohort",27,"0","4",1,"yes no","PI animal in cohort",0.27,0.465
"951 000016252354","9","MG04","MG04QABR0262",0,387,"yes no 4-9","PI animal in cohort",27,"0","3",1,"yes no","PI animal in cohort",0.27,0.387
"951 000016398473","4","CR07","CR07NG560844",0,427,"no no 10+","PI animal in cohort",13,"0","5",1,"no no","PI animal in cohort",0.13,0.427
"951 000016398903","4","CR07","CR07NG560844",0,427,"no no 10+","PI animal in cohort",13,"0","5",1,"no no","PI animal in cohort",0.13,0.427
"951 000017004589","14","YB06","YB06SA162317",0,458,"yes no 4-9","PI animal in group_28",18,"0","4",1,"yes no","PI animal before cohort",0.18,0.458
"951 000017075429","10","PC07","PC073WARC033",1,467,"yes no 4-9","no BVDV in cohort",16,"0","0",0,"yes no","no BVDV in cohort",0.16,0.467
