SWAB_NUMBER,VAC_CODE,CALF_ID,SEX,location,Producer,pinkeye,weight,Pinkeye_score,,extra
185,3,b8816,s,2,1,0,578,0
249,3,w1201,s,3,1,0,578,0
303,1,w3206,s,3,1,0,578,0
336,3,w9102,s,3,1,0,578,0
595,1,671,h,9,3,0,580,0
392,3,b0315,h,4,1,0,580,0
560,2,672,s,8,3,0,580,0
332,2,w1111,s,3,1,0,580,0
226,4,b0149,h,2,1,1,582,1
372,4,w3311,h,3,1,0,582,0
172,1,b0386,s,2,1,0,582,0
395,3,b8808,s,4,1,0,582,0
548,2,264,b,7,2,0,584,0
555,2,OO4,b,7,2,0,584,0
420,4,b4006,h,4,1,0,584,0
165,1,b8601,h,2,1,0,584,0
155,4,b8908,s,2,1,0,584,0
315,3,w1105,s,3,1,0,584,0
603,4,725,b,9,3,1,585,1
625,1,691,h,10,3,0,585,0
23,3,y355,b,1,1,1,586,3
199,1,b0331,h,2,1,1,586,1
401,4,b0215,h,4,1,0,586,0
161,1,b4613,h,2,1,0,586,0
388,1,b0210,s,4,1,0,586,0
454,4,b908,s,4,1,0,586,0
379,3,w3315,s,3,1,0,586,0
355,1,w3310,h,3,1,0,588,0
138,2,b0357,s,2,1,0,588,0
378,4,w1304,s,3,1,0,588,0
284,4,w3203,s,3,1,0,588,0
130,2,b0372,h,2,1,1,590,5
354,2,w9306,h,3,1,0,590,0
434,2,b0205,s,4,1,0,590,0
461,1,b4608,s,4,1,0,590,0
364,1,w3302,s,3,1,0,590,0
361,4,w3309,s,3,1,0,590,0
529,1,168,b,6,2,0,592,0
394,4,b0307,h,4,1,0,592,0
222,3,b8612,h,2,1,0,592,0
288,1,w4201,s,3,1,1,592,1
464,4,b0146,s,4,1,0,592,0
512,4,357,b,6,2,0,594,0
312,2,w1106,h,3,1,0,594,0
353,1,w3313,h,3,1,0,594,0
118,1,b0211,s,1,1,0,594,0
68,2,b0410,s,1,1,0,594,0
592,3,801,s,9,3,0,595,0
638,1,719,s,11,3,0,595,0
12,3,y247,b,1,1,0,596,0
113,1,b4304,h,1,1,1,596,5
174,4,b0126,s,2,1,1,596,5
487,3,709,h,5,2,0,598,0
391,3,b0116,h,4,1,0,598,0
446,4,b8613,s,4,1,0,598,0
343,2,w9105,s,3,1,0,598,0
491,4,872,h,5,2,0,600,0
279,4,w1241,h,3,1,0,600,0
257,4,w4206,h,3,1,0,600,0
622,2,695,s,10,3,0,600,0
