"","AnimalID","feedlot","cohort","Y","A","age","weight","mix_hist","PIgroup","PV_vacc","ps.re","ps.fe"
"133","951 000013649671",4,"CR09",1,1,0.17,0.416,"yes no","TI but no PI in cohort",0,0.70686042293372,0.700409728621981
"158","951 000014007079",4,"CR05",1,0,0.2,0.439,"no no","PI animal in cohort",0,0.536937295833783,0.538792956293258
"159","951 000014007773",4,"CR05",1,0,0.2,0.451,"no no","PI animal in cohort",0,0.526282834384786,0.52730528967339
"160","951 000014008199",4,"CR05",1,1,0.2,0.394,"no no","PI animal in cohort",0,0.576515003421908,0.581409748885359
"161","951 000014008464",4,"CR05",1,0,0.2,0.427,"no no","PI animal in cohort",0,0.547558135396929,0.550239567183431
"162","951 000014008644",4,"CR05",1,0,0.2,0.458,"no no","PI animal in cohort",0,0.520056031925571,0.520589984982221
"164","951 000014192510",4,"CR12",1,1,0.2,0.438,"yes no","TI but no PI in cohort",0,0.686540707490137,0.677379470808465
"188","951 000014821583",4,"CR12",1,1,0.19,0.456,"yes no","TI but no PI in cohort",0,0.673866071722314,0.663772048989552
"189","951 000014850333",4,"CR12",0,1,0.2,0.451,"yes no","TI but no PI in cohort",0,0.676479491868361,0.666357055924699
"202","951 000015117586",4,"CR18",1,0,0.14,0.386,"no no","PI animal in cohort",0,0.592060129097653,0.599909934875844
"203","951 000015118544",4,"CR18",0,1,0.14,0.438,"no no","PI animal in cohort",0,0.546629815660854,0.551092925321591
"206","951 000015227199",4,"CR17",1,1,0.23,0.468,"yes no","PI animal in cohort",0,0.745971058050242,0.735697557273408
"213","951 000015546219",4,"CR12",1,1,0.2,0.444,"yes no","TI but no PI in cohort",0,0.681918120345931,0.672315758768661
"220","951 000016081354",4,"CR07",0,1,0.13,0.401,"no no","PI animal in cohort",0,0.580521188909535,0.587835122523384
"221","951 000016082078",4,"CR07",1,1,0.13,0.384,"no no","PI animal in cohort",0,0.595206943369125,0.603580976800924
"225","951 000016398473",4,"CR07",0,1,0.13,0.427,"no no","PI animal in cohort",0,0.557790700085767,0.563412170946946
"226","951 000016398903",4,"CR07",0,1,0.13,0.427,"no no","PI animal in cohort",0,0.557790700085767,0.563412170946946
"239","951 000017439231",4,"CR18",0,1,0.31,0.412,"no no","PI animal in cohort",0,0.544693958287005,0.543748784871843
"240","951 000017440034",4,"CR18",0,1,0.31,0.409,"no no","PI animal in cohort",0,0.54734570331772,0.546609873233829
"241","951 000017441019",4,"CR18",1,0,0.31,0.434,"no no","PI animal in cohort",0,0.525179931676345,0.522691256689612
"242","951 000017511654",4,"CR22",1,1,0.17,0.467,"yes no","TI but no PI in cohort",0,0.667816224491466,0.657707258579253
"243","951 000017532116",4,"CR18",1,0,0.31,0.423,"no no","PI animal in cohort",0,0.534950319289798,0.533234823119922
"252","951 000018175672",4,"CR14",0,0,0.21,0.49,"no no","TI but no PI in cohort",0,0.38752878946677,0.384963604675371
"253","951 000018176014",4,"CR14",0,0,0.21,0.493,"no no","TI but no PI in cohort",0,0.384992780276597,0.382235302156866
"254","951 000018176453",4,"CR14",1,0,0.21,0.478,"no no","TI but no PI in cohort",0,0.397732679373019,0.395947791549417
"255","951 000018176568",4,"CR14",1,0,0.21,0.497,"no no","TI but no PI in cohort",0,0.381621150532281,0.378609109611332
"256","951 000018176653",4,"CR14",1,0,0.21,0.47,"no no","TI but no PI in cohort",0,0.404585607093794,0.403330103230942
"257","951 000018176775",4,"CR14",1,0,0.21,0.497,"no no","TI but no PI in cohort",0,0.381621150532281,0.378609109611332
"258","951 000018343308",4,"CR18",0,1,0.31,0.433,"no no","PI animal in cohort",0,0.526069059104454,0.523650740968849
"259","951 000018344621",4,"CR18",1,1,0.31,0.458,"no no","PI animal in cohort",0,0.503805919285728,0.499629664159243
"260","951 000300185057",4,"CR18",0,1,0.14,0.387,"no no","PI animal in cohort",0,0.591198599161052,0.598986424284346
"261","951 000300211503",4,"CR18",0,1,0.14,0.38,"no no","PI animal in cohort",0,0.597217262807947,0.605435889868142
"262","951 000300211670",4,"CR18",0,0,0.14,0.4,"no no","PI animal in cohort",0,0.579949513189719,0.586918988687994
"263","951 000300212019",4,"CR18",0,1,0.14,0.444,"no no","PI animal in cohort",0,0.541322429289705,0.545377385099265
"264","951 000300212057",4,"CR18",0,0,0.14,0.412,"no no","PI animal in cohort",0,0.569491215124879,0.57568601668521
"265","951 000300212121",4,"CR18",1,1,0.14,0.4,"no no","PI animal in cohort",0,0.579949513189719,0.586918988687994
"271","982 000030437846",4,"CR05",1,1,0.17,0.47,"yes no","PI animal in cohort",1,0.751918490728248,0.758305240008368
"273","982 000039378222",4,"CR12",1,1,0.19,0.423,"yes no","TI but no PI in cohort",0,0.69918021907074,0.691485636959067
"274","982 000039412319",4,"CR12",1,1,0.2,0.445,"yes no","TI but no PI in cohort",0,0.681144159859346,0.671467852365587
"275","982 000039491280",4,"CR12",1,1,0.19,0.473,"yes no","TI but no PI in cohort",0,0.660405855723135,0.649026781956984
"284","982 000058653340",4,"CR21",0,0,0.29,0.447,"yes no","TI but no PI in cohort",0,0.667896365385916,0.654415097712798
"301","982 000061087686",4,"CR09",0,1,0.17,0.403,"yes no","TI but no PI in cohort",1,0.717040054422496,0.727281008161614
"321","982 000079500330",4,"CR10",1,1,0.19,0.458,"yes no","PI animal before cohort",0,0.957656264338272,0.954233934939698
"340","982 000079624142",4,"CR09",1,0,0.17,0.461,"yes no","TI but no PI in cohort",0,0.672545339426869,0.662883521490345
"341","982 000079624262",4,"CR09",1,0,0.17,0.405,"yes no","TI but no PI in cohort",0,0.714921669295449,0.709211562327441
"342","982 000079624313",4,"CR09",1,1,0.17,0.458,"yes no","TI but no PI in cohort",0,0.674896894981754,0.665457173696406
"348","982 000085145298",4,"CR05",1,1,0.17,0.456,"yes no","PI animal in cohort",1,0.761113297943145,0.768036489036863
"359","982 000086139713",4,"CR05",1,1,0.17,0.477,"yes no","PI animal in cohort",1,0.747233094518534,0.753336509736062
"360","982 000086139773",4,"CR05",1,1,0.17,0.462,"yes no","PI animal in cohort",1,0.757201511168493,0.763899734585318
"361","982 000086139901",4,"CR05",1,1,0.17,0.468,"yes no","PI animal in cohort",1,0.753246435546094,0.759712287460561
"362","982 000086610769",4,"CR05",0,1,0.17,0.467,"yes no","PI animal in cohort",1,0.753908612896809,0.760413707632316
"370","982 000090465216",4,"CR12",1,1,0.19,0.43,"yes no","TI but no PI in cohort",0,0.693904255722342,0.685712569013334
"382","982 000095411076",4,"CR10",0,1,0.18,0.446,"yes no","PI animal in cohort",0,0.765890988406205,0.758865971676188
"383","982 000097260392",4,"CR05",1,1,0.19,0.446,"yes no","PI animal in cohort",0,0.764829105709331,0.757467717100136
"411","982 000100662391",4,"CR11",0,1,0.18,0.447,"yes no","PI animal in cohort",1,0.765840730858526,0.772810039915652
"412","982 000100662614",4,"CR03",1,1,0.29,0.446,"yes no","TI but no PI in cohort",1,0.669414345127422,0.673480730092425
"414","982 000100671475",4,"CR03",1,1,0.29,0.481,"yes no","TI but no PI in cohort",1,0.641235765756692,0.64321678926152
"415","982 000100671846",4,"CR11",0,1,0.18,0.47,"yes no","PI animal in cohort",1,0.750813850952359,0.756904775522965
"416","982 000100671963",4,"CR03",0,1,0.29,0.489,"yes no","TI but no PI in cohort",1,0.634646957184533,0.636124816273901
